letter,count_all,count_uppercase,percentage
n,453,91,5.94
e,664,1,8.71
w,179,1,2.35
s,475,47,6.23
t,477,12,6.25
h,183,0,2.4
a,418,60,5.48
r,354,73,4.64
i,390,1,5.11
f,217,0,2.85
m,111,39,1.46
k,76,32,1.0
0,443,0,5.81
3,156,0,2.05
8,48,0,0.63
2,469,0,6.15
5,214,0,2.81
1,223,0,2.92
4,92,0,1.21
9,48,0,0.63
p,95,34,1.25
v,88,21,1.15
d,275,35,3.61
b,110,55,1.44
l,226,8,2.96
o,336,8,4.41
y,113,1,1.48
c,115,8,1.51
u,176,34,2.31
7,29,0,0.38
g,114,5,1.49
6,62,0,0.81
',3,0,0.04
а,15,0,0.2
г,5,0,0.07
д,6,0,0.08
о,22,0,0.29
ш,1,0,0.01
л,21,0,0.28
м,1,0,0.01
ч,1,0,0.01
н,16,0,0.21
с,4,0,0.05
р,3,0,0.04
п,14,0,0.18
и,15,1,0.2
j,6,0,0.08
к,2,0,0.03
ы,3,0,0.04
т,2,0,0.03
ь,17,0,0.22
в,4,0,0.05
я,1,0,0.01
ф,14,13,0.18
ж,1,0,0.01
е,1,0,0.01
б,2,0,0.03
q,17,0,0.22
z,1,0,0.01
